纪元名单完整导出（修正后开局名单）
生成时间: 2026-08-26T12:12:22.387Z

============================================================
2003-04 赛季（2003 纪元）
============================================================

[ATL] 共 15 人
  Shareef Abdur-Rahim | PF | 27岁 | OVR 84
  Shawne Williams | SF | 24岁 | OVR 57

[DEN] 共 13 人
  Carmelo Anthony | SF/PF | 26岁 | OVR 88
  Chauncey Billups | PG/SG | 34岁 | OVR 85
  Nene Hilario | C | 28岁 | OVR 79
  Ty Lawson | PG | 23岁 | OVR 74
  Kenyon Martin | PF | 33岁 | OVR 74
  J.R. Smith | SG | 25岁 | OVR 72
  Renaldo Balkman | SF | 26岁 | OVR 68
  Chris Andersen | PF | 32岁 | OVR 68
  Joey Graham | SF | 28岁 | OVR 68
  Arron Afflalo | SG | 25岁 | OVR 63
  Gary Forbes | SF | 25岁 | OVR 63
  Anthony Carter | PG | 35岁 | OVR 61
  Malik Allen | PF | 32岁 | OVR 59

[DET] 共 15 人
  Ben Gordon | SG | 27岁 | OVR 78
  Richard Hamilton | SG | 32岁 | OVR 78
  Tayshaun Prince | SF | 30岁 | OVR 77
  Tracy McGrady | SG/SF | 31岁 | OVR 77
  Greg Monroe | C | 20岁 | OVR 74
  Rodney Stuckey | PG | 24岁 | OVR 73
  Ben Wallace | C/PF | 36岁 | OVR 73
  Charlie Villanueva | PF | 26岁 | OVR 72
  Jason Maxiell | C | 27岁 | OVR 70
  Jonas Jerebko | PF | 23岁 | OVR 70
  Greg Monroe | 5 | 20岁 | OVR 70
  Will Bynum | PG | 28岁 | OVR 68
  Chris Wilcox | PF | 28岁 | OVR 63
  Austin Daye | SF | 22岁 | OVR 60
  Chucky Atkins | PG | 36岁 | OVR 59

[GSW] 共 15 人
  David Lee | C | 27岁 | OVR 77
  Monta Ellis | SG/PG | 25岁 | OVR 75
  Andris Biedriņš | C | 24岁 | OVR 74
  Reggie Williams | SF | 24岁 | OVR 74
  Anthony Tolliver | PF | 25岁 | OVR 72
  Kelenna Azubuike | SF | 27岁 | OVR 71
  Ekpe Udoh | 5 | 23岁 | OVR 70
  Stephen Curry | PG/SG | 22岁 | OVR 69
  Anthony Randolph | C | 21岁 | OVR 68
  Ronny Turiaf | C | 28岁 | OVR 68
  Mikki Moore | C | 35岁 | OVR 64
  Chris Hunter | C | 26岁 | OVR 63
  Charlie Bell | SG | 31岁 | OVR 63
  Dorell Wright | SF | 25岁 | OVR 63
  Jeremy Lin | PG | 22岁 | OVR 62

[HOU] 共 15 人
  Kevin Martin | SG | 27岁 | OVR 77
  Trevor Ariza | SF | 25岁 | OVR 73
  Luis Scola | PF | 30岁 | OVR 73
  Shane Battier | SG | 32岁 | OVR 72
  Aaron Brooks | PG | 26岁 | OVR 71
  Patrick Patterson | 4 | 21岁 | OVR 70
  Kyle Lowry | PG | 24岁 | OVR 69
  Courtney Lee | SG | 25岁 | OVR 68
  Chase Budinger | SF | 22岁 | OVR 65
  Chuck Hayes | C | 27岁 | OVR 64
  Pops Mensah-Bonsu | PF | 27岁 | OVR 64
  Jared Jeffries | SF | 29岁 | OVR 63
  David Andersen | C | 30岁 | OVR 63
  Jermaine Taylor | SG | 24岁 | OVR 62
  Jordan Hill | PF | 23岁 | OVR 62

[IND] 共 15 人
  Danny Granger | SF | 27岁 | OVR 84
  Troy Murphy | PF | 30岁 | OVR 74
  T.J. Ford | PG | 27岁 | OVR 74
  James Posey | SF | 34岁 | OVR 73
  Paul George | 3 | 20岁 | OVR 73
  Tyler Hansbrough | PF | 25岁 | OVR 68
  Paul George | SF/SG/PF | 20岁 | OVR 68
  Jeff Foster | C | 34岁 | OVR 67
  Dahntay Jones | SF | 30岁 | OVR 66
  A.J. Price | PG | 24岁 | OVR 66
  Brandon Rush | SG | 25岁 | OVR 65
  Mike Dunleavy | SF | 30岁 | OVR 65
  Darren Collison | PG | 23岁 | OVR 65
  Earl Watson | PG | 31岁 | OVR 64
  Roy Hibbert | C | 24岁 | OVR 64

[LAC] 共 15 人
  Baron Davis | PG | 31岁 | OVR 82
  Blake Griffin | PF/C | 21岁 | OVR 76
  Eric Bledsoe | 2 | 21岁 | OVR 74
  Eric Gordon | SG | 22岁 | OVR 72
  Chris Kaman | C | 28岁 | OVR 72
  Randy Foye | PG | 27岁 | OVR 71
  Al-Farouq Aminu | 3 | 20岁 | OVR 70
  Craig Smith | PF | 27岁 | OVR 62
  Rasual Butler | SF | 31岁 | OVR 61
  Ricky Davis | SF | 31岁 | OVR 60
  Bobby Brown | PG | 26岁 | OVR 57
  Steve Novak | SF | 27岁 | OVR 57
  Mardy Collins | SG | 26岁 | OVR 56
  DeAndre Jordan | C | 22岁 | OVR 56
  Brian Skinner | PF | 34岁 | OVR 54

[LAL] 共 14 人
  Kobe Bryant | SG/SF | 32岁 | OVR 97
  Pau Gasol | PF/C | 30岁 | OVR 83
  Lamar Odom | PF/SF/PG | 31岁 | OVR 77
  Andrew Bynum | C | 23岁 | OVR 74
  Metta World | SF | 31岁 | OVR 72
  Steve Blake | PG | 30岁 | OVR 72
  Derek Fisher | PG | 36岁 | OVR 70
  Sasha Vujačić | SG | 26岁 | OVR 69
  Shannon Brown | SG | 25岁 | OVR 67
  Luke Walton | SF | 30岁 | OVR 67
  Matt Barnes | SF | 30岁 | OVR 67
  Devin Ebanks | SG | 21岁 | OVR 65
  Josh Powell | PF | 28岁 | OVR 64
  Didier Ilunga-Mbenga | C | 30岁 | OVR 61

[MEM] 共 15 人
  O.J. Mayo | SG | 23岁 | OVR 78
  Rudy Gay | SF | 24岁 | OVR 78
  Trey Gilder | SF | 26岁 | OVR 78
  Zach Randolph | PF | 29岁 | OVR 76
  Mike Conley | PG | 23岁 | OVR 74
  Marc Gasol | C | 26岁 | OVR 71
  Xavier Henry | 3 | 19岁 | OVR 70
  Dominique Jones | 2 | 22岁 | OVR 70
  Greivis Vásquez | 1 | 24岁 | OVR 70
  Jamaal Tinsley | PG | 32岁 | OVR 68
  Sam Young | SF | 25岁 | OVR 67
  Tony Allen | SG | 29岁 | OVR 66
  Darrell Arthur | PF | 22岁 | OVR 65
  Marcus Williams | PG | 25岁 | OVR 62
  DeMarre Carroll | SF | 24岁 | OVR 60

[MIA] 共 13 人
  Dwyane Wade | SG/PG | 29岁 | OVR 96
  LeBron James | SF/PF/PG/SG | 26岁 | OVR 96
  Chris Bosh | PF/C | 26岁 | OVR 84
  Mario Chalmers | PG | 24岁 | OVR 74
  Michael Beasley | PF | 22岁 | OVR 72
  Udonis Haslem | PF | 30岁 | OVR 70
  Carlos Arroyo | PG | 31岁 | OVR 66
  Zydrunas Ilgauskas | C | 35岁 | OVR 65
  Quentin Richardson | SF | 30岁 | OVR 62
  James Jones | SF | 30岁 | OVR 62
  Daequan Cook | SG | 23岁 | OVR 61
  Jamaal Magloire | C | 32岁 | OVR 61
  Erick Dampier | C | 35岁 | OVR 61

[MIL] 共 13 人
  Michael Redd | SG | 31岁 | OVR 76
  Corey Maggette | PF | 31岁 | OVR 75
  John Salmons | SG | 31岁 | OVR 72
  Larry Sanders | 5 | 22岁 | OVR 72
  Andrew Bogut | C | 26岁 | OVR 71
  Kurt Thomas | C | 38岁 | OVR 71
  Keyon Dooling | PG | 30岁 | OVR 71
  Luc Mbah | PF | 24岁 | OVR 68
  Jerry Stackhouse | SG | 36岁 | OVR 67
  Drew Gooden | PF | 29岁 | OVR 67
  Brandon Jennings | PG | 21岁 | OVR 64
  Carlos Delfino | SF | 28岁 | OVR 63
  Roko Ukic | PG | 26岁 | OVR 60

[MIN] 共 15 人
  Jonny Flynn | PG | 21岁 | OVR 74
  Ramon Sessions | PG | 24岁 | OVR 73
  Kevin Love | PF/C | 22岁 | OVR 73
  Wesley Johnson | 3 | 23岁 | OVR 71
  Lazar Hayward | 3 | 24岁 | OVR 70
  Corey Brewer | SG | 24岁 | OVR 68
  Ryan Gomes | SF | 28岁 | OVR 66
  Wesley Johnson | SG | 23岁 | OVR 66
  Luke Ridnour | PG | 29岁 | OVR 66
  Wayne Ellington | SG | 23岁 | OVR 62
  Damien Wilkins | SF | 31岁 | OVR 61
  Nathan Jawai | C | 24岁 | OVR 61
  Darko Miličić | C | 25岁 | OVR 59
  Brian Cardinal | PF | 33岁 | OVR 58
  Sasha Pavlović | SF | 27岁 | OVR 56

[NOP] 共 15 人
  Chris Paul | PG | 25岁 | OVR 94
  Emeka Okafor | C | 28岁 | OVR 79
  David West | PF | 30岁 | OVR 78
  Aaron Gray | C | 26岁 | OVR 70
  Willie Green | SG | 29岁 | OVR 68
  Julian Wright | SF | 23岁 | OVR 66
  Marco Belinelli | SG | 24岁 | OVR 66
  Darius Songaila | C | 32岁 | OVR 65
  Peja Stojaković | SF | 33岁 | OVR 63
  Jason Smith | PF | 24岁 | OVR 62
  Sean Marks | C | 35岁 | OVR 60
  Quincy Pondexter | SF | 22岁 | OVR 60
  Morris Peterson | SG | 33岁 | OVR 59
  Hilton Armstrong | PF | 26岁 | OVR 59
  Marcus Thornton | SG | 23岁 | OVR 58

[NYK] 共 15 人
  Amar'e Stoudemire | PF | 28岁 | OVR 82
  Al Harrington | PF | 30岁 | OVR 75
  Wilson Chandler | SG | 23岁 | OVR 73
  Chris Duhon | PG | 28岁 | OVR 72
  Roger Mason | SG | 30岁 | OVR 71
  Earl Barron | C | 29岁 | OVR 70
  Timofey Mozgov | C | 24岁 | OVR 66
  Landry Fields | SG | 22岁 | OVR 66
  Toney Douglas | PG | 24岁 | OVR 65
  Eddy Curry | C | 28岁 | OVR 65
  Sergio Rodríguez | PG | 24岁 | OVR 62
  Jonathan Bender | SF | 30岁 | OVR 61
  Eddie House | SG | 32岁 | OVR 59
  Henry Walker | SG | 23岁 | OVR 59
  J.R. Giddens | SF | 25岁 | OVR 57

[OKC] 共 15 人
  Kevin Durant | SF/PF | 22岁 | OVR 82
  Russell Westbrook | PG/SG | 22岁 | OVR 77
  James Harden | SG/PG | 21岁 | OVR 76
  Jeff Green | PF | 24岁 | OVR 74
  Cole Aldrich | 5 | 22岁 | OVR 70
  Craig Brackins | 5 | 23岁 | OVR 70
  Quincy Pondexter | 3 | 22岁 | OVR 70
  Serge Ibaka | PF | 21岁 | OVR 67
  Eric Maynor | PG | 23岁 | OVR 66
  Thabo Sefolosha | SG | 26岁 | OVR 64
  Nick Collison | C | 30岁 | OVR 64
  D.J. White | PF | 24岁 | OVR 63
  Etan Thomas | C | 32岁 | OVR 62
  Kyle Weaver | SG | 24岁 | OVR 60
  Nenad Krstić | C | 27岁 | OVR 60

[ORL] 共 15 人
  Dwight Howard | C | 25岁 | OVR 89
  Vince Carter | SG/SF | 34岁 | OVR 81
  Jameer Nelson | PG | 28岁 | OVR 79
  Rashard Lewis | PF | 31岁 | OVR 75
  J.J. Redick | SG | 26岁 | OVR 71
  Mickaël Piétrus | SF | 28岁 | OVR 70
  Daniel Orton | 5 | 20岁 | OVR 70
  Brandon Bass | PF | 25岁 | OVR 68
  Marcin Gortat | C | 26岁 | OVR 67
  Jason Williams | PG | 35岁 | OVR 65
  Anthony Johnson | PG | 36岁 | OVR 61
  Ryan Anderson | PF | 22岁 | OVR 59
  Tyronn Lue | PG | 33岁 | OVR 59
  Brian Cook | PF | 30岁 | OVR 57
  Jeremy Richardson | SF | 26岁 | OVR 52

[PHI] 共 13 人
  Andre Iguodala | SF/SG/PG | 27岁 | OVR 84
  Elton Brand | PF/C | 31岁 | OVR 77
  Thaddeus Young | PF | 22岁 | OVR 75
  Evan Turner | 3 | 22岁 | OVR 72
  Andrés Nocioni | SF | 31岁 | OVR 71
  Lou Williams | PG | 24岁 | OVR 70
  Jrue Holiday | PG/SG | 20岁 | OVR 67
  Marreese Speights | C | 23岁 | OVR 67
  Evan Turner | SG | 22岁 | OVR 66
  Rodney Carney | SG | 26岁 | OVR 64
  Spencer Hawes | C | 22岁 | OVR 64
  Francisco Elson | C | 34岁 | OVR 62
  Jason Kapono | SF | 29岁 | OVR 61

[PHX] 共 14 人
  Steve Nash | PG | 36岁 | OVR 80
  Hedo Türkoğlu | SF | 31岁 | OVR 76
  Jason Richardson | SG | 30岁 | OVR 72
  Grant Hill | SF/PG | 38岁 | OVR 72
  Lou Amundson | PF | 28岁 | OVR 66
  Earl Clark | PF | 23岁 | OVR 64
  Jared Dudley | SF | 25岁 | OVR 63
  Goran Dragić | PG | 24岁 | OVR 62
  Taylor Griffin | SF | 24岁 | OVR 62
  Alando Tucker | SF | 26岁 | OVR 62
  Channing Frye | C | 27岁 | OVR 60
  Robin Lopez | C | 22岁 | OVR 60
  Jarron Collins | C | 32岁 | OVR 55
  Dwayne Jones | PF | 27岁 | OVR 51

[POR] 共 15 人
  Brandon Roy | SG/PG | 26岁 | OVR 87
  Andre Miller | PG | 34岁 | OVR 78
  LaMarcus Aldridge | PF | 25岁 | OVR 78
  Marcus Camby | C | 36岁 | OVR 75
  Marcus Camby | C | 36岁 | OVR 75
  Greg Oden | C | 23岁 | OVR 74
  Luke Babbitt | 3 | 21岁 | OVR 70
  Elliot Williams | 2 | 21岁 | OVR 70
  Rudy Fernández | SG | 25岁 | OVR 68
  Wesley Matthews | SG | 24岁 | OVR 68
  Joel Przybilla | C | 31岁 | OVR 67
  Jerryd Bayless | SG | 22岁 | OVR 65
  Nicolas Batum | SF | 22岁 | OVR 64
  Juwan Howard | C | 37岁 | OVR 64
  Dante Cunningham | PF | 23岁 | OVR 64

[SAC] 共 15 人
  DeMarcus Cousins | 5 | 20岁 | OVR 76
  Tyreke Evans | SG/PG/SF | 21岁 | OVR 71
  Samuel Dalembert | C | 29岁 | OVR 71
  Francisco García | SG | 29岁 | OVR 68
  Carl Landry | PF | 27岁 | OVR 68
  Jason Thompson | C | 24岁 | OVR 66
  Dominic McGuire | SF | 25岁 | OVR 65
  Beno Udrih | PG | 28岁 | OVR 64
  Jon Brockman | PF | 23岁 | OVR 64
  Luther Head | SG | 28岁 | OVR 64
  Ime Udoka | SG | 33岁 | OVR 61
  Kenny Thomas | PF | 33岁 | OVR 59
  Sean May | C | 26岁 | OVR 57
  Desmond Mason | SF | 33岁 | OVR 57
  Donté Greene | SF | 22岁 | OVR 55

[SAS] 共 15 人
  Tim Duncan | PF/C | 34岁 | OVR 88
  Tony Parker | PG | 28岁 | OVR 84
  Manu Ginóbili | SG/PG/SF | 33岁 | OVR 83
  Richard Jefferson | SF | 30岁 | OVR 76
  James Anderson | 3 | 21岁 | OVR 70
  Antonio McDyess | PF | 36岁 | OVR 68
  Gary Neal | SG | 26岁 | OVR 68
  Tiago Splitter | C | 26岁 | OVR 68
  Keith Bogans | SF | 30岁 | OVR 64
  Garrett Temple | SG | 24岁 | OVR 64
  George Hill | PG | 24岁 | OVR 61
  DeJuan Blair | PF | 21岁 | OVR 60
  Marcus Haislip | SF | 30岁 | OVR 59
  Matt Bonner | PF | 30岁 | OVR 58
  Malik Hairston | SG | 23岁 | OVR 57

[TOR] 共 15 人
  José Calderón | PG | 29岁 | OVR 75
  Leandro Barbosa | PG | 28岁 | OVR 75
  Jarrett Jack | PG | 27岁 | OVR 71
  Ed Davis | PF | 21岁 | OVR 70
  Ed Davis | 4 | 21岁 | OVR 70
  Andrea Bargnani | PF | 25岁 | OVR 69
  Linas Kleiza | SF | 26岁 | OVR 68
  Sonny Weems | SG | 24岁 | OVR 66
  DeMar DeRozan | SG/SF | 21岁 | OVR 64
  Amir Johnson | PF | 23岁 | OVR 64
  Marcus Banks | PG | 29岁 | OVR 63
  Rasho Nesterović | C | 34岁 | OVR 61
  Antoine Wright | SF | 26岁 | OVR 60
  Reggie Evans | PF | 30岁 | OVR 60
  Patrick O'Bryant | C | 24岁 | OVR 58

[UTA] 共 14 人
  Deron Williams | PG | 26岁 | OVR 89
  Al Jefferson | C | 26岁 | OVR 84
  Paul Millsap | PF | 25岁 | OVR 74
  Mehmet Okur | C | 31岁 | OVR 72
  Andrei Kirilenko | SF/PF | 29岁 | OVR 71
  Raja Bell | SG | 34岁 | OVR 71
  Gordon Hayward | 3 | 20岁 | OVR 70
  Sundiata Gaines | PG | 24岁 | OVR 66
  Ronnie Price | PG | 27岁 | OVR 65
  Gordon Hayward | SF/SG | 20岁 | OVR 63
  Brevin Knight | PG | 35岁 | OVR 61
  Kosta Koufos | C | 21岁 | OVR 60
  Othyus Jeffers | SG | 25岁 | OVR 59
  C.J. Miles | SF | 23岁 | OVR 57

[WAS] 共 15 人
  Gilbert Arenas | PG/SG | 29岁 | OVR 84
  Josh Howard | SF | 30岁 | OVR 77
  Kirk Hinrich | SG | 30岁 | OVR 77
  John Wall | 1 | 20岁 | OVR 74
  Mike Miller | SG | 30岁 | OVR 70
  Jordan Crawford | 2 | 22岁 | OVR 70
  Trevor Booker | 4 | 23岁 | OVR 70
  Alonzo Gee | SG | 23岁 | OVR 68
  Al Thornton | SF | 27岁 | OVR 67
  Nick Young | SG | 25岁 | OVR 66
  James Singleton | PF | 29岁 | OVR 66
  Earl Boykins | PG | 34岁 | OVR 64
  Quinton Ross | SG | 29岁 | OVR 63
  Andray Blatche | PF | 24岁 | OVR 62
  Fabricio Oberto | C | 35岁 | OVR 62
============================================================
2016-17 赛季（2016 纪元）
============================================================

[ATL] 共 15 人
  Dwight Howard | C | 31岁 | OVR 85
  Paul Millsap | PF | 31岁 | OVR 83
  Kyle Korver | SG | 35岁 | OVR 79
  Dennis Schröder | PG | 23岁 | OVR 76
  Tiago Splitter | C | 32岁 | OVR 76
  Thabo Sefolosha | SF | 32岁 | OVR 74
  Tim Hardaway Jr. | SG | 24岁 | OVR 73
  Kent Bazemore | SF | 27岁 | OVR 72
  Mike Scott | PF | 28岁 | OVR 72
  Mike Muscala | C | 25岁 | OVR 72
  Taurean Prince | 4 | 22岁 | OVR 70
  DeAndre' Bembry | 3 | 22岁 | OVR 70
  Walter Tavares | C | 24岁 | OVR 63
  Pero Antic | C | 34岁 | OVR 63
  Malcolm Delaney | PG | 27岁 | OVR 59

[BKN] 共 15 人
  Brook Lopez | C | 28岁 | OVR 83
  Thaddeus Young | PF | 28岁 | OVR 75
  Jeremy Lin | SG | 28岁 | OVR 75
  Jarrett Jack | PG | 33岁 | OVR 74
  Trevor Booker | PF | 29岁 | OVR 74
  Donald Sloan | PG | 29岁 | OVR 73
  Thomas Robinson | PF | 25岁 | OVR 73
  Henry Sims | C | 26岁 | OVR 72
  Rondae Hollis-Jefferson | SF | 22岁 | OVR 72
  Bojan Bogdanović | SF | 27岁 | OVR 71
  Sean Kilpatrick | SG | 27岁 | OVR 71
  Wayne Ellington | SG | 29岁 | OVR 70
  Shane Larkin | PG | 24岁 | OVR 70
  Sergey Karasev | SF | 23岁 | OVR 70
  Caris LeVert | 2 | 22岁 | OVR 70

[BOS] 共 15 人
  Al Horford | C/PF | 30岁 | OVR 83
  Isaiah Thomas | PG | 27岁 | OVR 81
  Avery Bradley | SG | 26岁 | OVR 77
  Jae Crowder | SF | 26岁 | OVR 76
  Tyler Zeller | C | 27岁 | OVR 76
  Gerald Green | SG | 31岁 | OVR 76
  Amir Johnson | PF | 29岁 | OVR 75
  Kelly Olynyk | C | 25岁 | OVR 74
  Marcus Smart | PG | 22岁 | OVR 73
  Jonas Jerebko | PF | 29岁 | OVR 72
  Jaylen Brown | 2 | 20岁 | OVR 72
  Guerschon Yabusele | 4 | 21岁 | OVR 70
  Terry Rozier | PG | 22岁 | OVR 69
  R.J. Hunter | SG | 23岁 | OVR 67
  Coty Clarke | SF | 24岁 | OVR 64

[CHA] 共 14 人
  Kemba Walker | PG | 26岁 | OVR 81
  Michael Kidd-Gilchrist | SF | 23岁 | OVR 78
  Nicolas Batum | SF | 28岁 | OVR 77
  Roy Hibbert | C | 30岁 | OVR 77
  Jeremy Lamb | SG | 24岁 | OVR 74
  Cody Zeller | C | 24岁 | OVR 74
  Frank Kaminsky | C | 23岁 | OVR 73
  Tyler Hansbrough | PF | 31岁 | OVR 73
  Ramon Sessions | PG | 30岁 | OVR 72
  Marvin Williams | PF | 30岁 | OVR 71
  Spencer Hawes | PF | 28岁 | OVR 66
  Troy Daniels | SG | 25岁 | OVR 66
  Jorge Gutierrez | PG | 28岁 | OVR 65
  Aaron Harrison | SG | 22岁 | OVR 54

[CHI] 共 14 人
  Jimmy Butler | SG/SF | 27岁 | OVR 86
  Dwyane Wade | SG/PG | 35岁 | OVR 86
  Rajon Rondo | PG | 30岁 | OVR 77
  Nikola Mirotić | PF | 25岁 | OVR 76
  Taj Gibson | PF | 31岁 | OVR 76
  Robin Lopez | C | 28岁 | OVR 75
  Mike Dunleavy | SF | 36岁 | OVR 73
  Tony Snell | SF | 25岁 | OVR 73
  Isaiah Canaan | SG | 25岁 | OVR 72
  Bobby Portis | PF | 21岁 | OVR 71
  José Calderón | PG | 35岁 | OVR 71
  Denzel Valentine | 2 | 23岁 | OVR 70
  Doug McDermott | SF | 25岁 | OVR 68
  Cristiano Felício | C | 24岁 | OVR 68

[CLE] 共 13 人
  LeBron James | SF/PF/PG/SG | 32岁 | OVR 94
  Kyrie Irving | PG/SG | 24岁 | OVR 87
  Kevin Love | PF/C | 28岁 | OVR 83
  Tristan Thompson | C/PF | 25岁 | OVR 77
  J.R. Smith | SG | 31岁 | OVR 76
  Iman Shumpert | SG | 26岁 | OVR 75
  Chris Andersen | C | 38岁 | OVR 73
  Richard Jefferson | SF | 36岁 | OVR 72
  Channing Frye | C | 33岁 | OVR 71
  James Jones | SF | 36岁 | OVR 63
  Jordan McRae | PG | 25岁 | OVR 62
  Sasha Kaun | C | 31岁 | OVR 62
  Jared Cunningham | SG | 25岁 | OVR 57

[DAL] 共 13 人
  Dirk Nowitzki | PF/C | 38岁 | OVR 84
  Wesley Matthews | SF | 30岁 | OVR 79
  Deron Williams | PG | 32岁 | OVR 78
  Harrison Barnes | SF | 24岁 | OVR 77
  Andrew Bogut | C | 32岁 | OVR 77
  Devin Harris | PG | 33岁 | OVR 74
  J.J. Barea | PG | 32岁 | OVR 74
  Charlie Villanueva | PF | 32岁 | OVR 72
  JaVale McGee | C | 29岁 | OVR 72
  Justin Anderson | SF | 23岁 | OVR 71
  Dwight Powell | PF | 25岁 | OVR 69
  Salah Mejri | C | 30岁 | OVR 68
  Seth Curry | PG | 26岁 | OVR 67

[DEN] 共 15 人
  Kenneth Faried | PF | 27岁 | OVR 79
  Danilo Gallinari | SF | 28岁 | OVR 76
  Emmanuel Mudiay | PG | 20岁 | OVR 75
  Jusuf Nurkić | C | 22岁 | OVR 74
  Wilson Chandler | SF | 29岁 | OVR 74
  Will Barton | SG | 26岁 | OVR 73
  Jameer Nelson | PG | 34岁 | OVR 72
  Jamal Murray | 2 | 19岁 | OVR 72
  Darrell Arthur | PF | 28岁 | OVR 71
  Gary Harris | SG | 22岁 | OVR 71
  JaKarr Sampson | SF | 23岁 | OVR 70
  Malik Beasley | 2 | 20岁 | OVR 70
  Joffrey Lauvergne | C | 25岁 | OVR 69
  Nikola Jokić | C | 21岁 | OVR 68
  Juancho Hernangómez | PF | 21岁 | OVR 62

[DET] 共 15 人
  Andre Drummond | C | 23岁 | OVR 83
  Tobias Harris | PF | 24岁 | OVR 79
  Reggie Jackson | PG | 26岁 | OVR 78
  Jodie Meeks | SG | 29岁 | OVR 74
  Kentavious Caldwell-Pope | SG | 23岁 | OVR 73
  Marcus Morris | SF | 27岁 | OVR 73
  Stanley Johnson | SF | 20岁 | OVR 73
  Aron Baynes | C | 30岁 | OVR 72
  Jon Leuer | PF | 27岁 | OVR 72
  Anthony Tolliver | PF | 31岁 | OVR 70
  Ish Smith | PG | 28岁 | OVR 70
  Henry Ellenson | 4 | 20岁 | OVR 70
  Boban Marjanović | C | 28岁 | OVR 69
  Steve Blake | PG | 36岁 | OVR 68
  Spencer Dinwiddie | PG | 23岁 | OVR 68

[GSW] 共 14 人
  Stephen Curry | PG/SG | 28岁 | OVR 93
  Kevin Durant | SF/PF | 28岁 | OVR 91
  Klay Thompson | SG/SF | 26岁 | OVR 87
  Draymond Green | PF/SF/C | 26岁 | OVR 82
  Andre Iguodala | SF/SG/PG | 33岁 | OVR 77
  David West | PF | 36岁 | OVR 77
  Anderson Varejão | C | 34岁 | OVR 76
  Shaun Livingston | PG/SG | 31岁 | OVR 73
  Zaza Pachulia | C | 32岁 | OVR 73
  Damian Jones | 5 | 21岁 | OVR 70
  Kevon Looney | PF | 20岁 | OVR 69
  Ian Clark | SG | 25岁 | OVR 66
  James Michael | PF | 24岁 | OVR 65
  Patrick McCaw | SG | 21岁 | OVR 64

[HOU] 共 13 人
  James Harden | SG/PG | 27岁 | OVR 92
  Eric Gordon | SG | 28岁 | OVR 78
  Trevor Ariza | SF | 31岁 | OVR 77
  Patrick Beverley | PG | 28岁 | OVR 76
  Corey Brewer | SF | 30岁 | OVR 76
  Ryan Anderson | PF | 28岁 | OVR 76
  Donatas Motiejūnas | PF | 26岁 | OVR 75
  Josh Smith | PF | 31岁 | OVR 75
  Jason Terry | SG | 39岁 | OVR 71
  Nene Hilario | PF | 34岁 | OVR 71
  K.J. McDaniels | SF | 23岁 | OVR 70
  Sam Dekker | SF | 22岁 | OVR 70
  Clint Capela | C | 22岁 | OVR 70

[IND] 共 12 人  ← 人数偏少，可能有缺失
  Paul George | SF/SG/PF | 26岁 | OVR 86
  Jeff Teague | PG | 28岁 | OVR 83
  Al Jefferson | C | 32岁 | OVR 83
  Monta Ellis | SG/PG | 31岁 | OVR 81
  Rodney Stuckey | PG | 30岁 | OVR 76
  Aaron Brooks | PG | 32岁 | OVR 75
  C.J. Miles | SF | 29岁 | OVR 73
  Myles Turner | C | 20岁 | OVR 73
  Lavoy Allen | PF | 27岁 | OVR 72
  Kevin Séraphin | C | 27岁 | OVR 72
  Joe Young | PG | 24岁 | OVR 68
  Shayne Whittington | PF | 25岁 | OVR 67

[LAC] 共 14 人
  Chris Paul | PG | 31岁 | OVR 90
  Blake Griffin | PF/C | 27岁 | OVR 88
  DeAndre Jordan | C | 28岁 | OVR 84
  Jamal Crawford | SG | 36岁 | OVR 79
  Paul Pierce | SF/SG | 39岁 | OVR 78
  J.J. Redick | SG | 32岁 | OVR 76
  Marreese Speights | C | 29岁 | OVR 76
  Wesley Johnson | SF | 29岁 | OVR 72
  Pablo Prigioni | PG | 39岁 | OVR 71
  Austin Rivers | SG | 24岁 | OVR 70
  Jeff Ayres | C | 29岁 | OVR 70
  Brice Johnson | 4 | 22岁 | OVR 70
  Raymond Felton | PG | 32岁 | OVR 68
  C.J. Wilcox | SG | 26岁 | OVR 63

[LAL] 共 15 人
  Lou Williams | SG | 30岁 | OVR 80
  Luol Deng | PF | 31岁 | OVR 78
  D'Angelo Russell | PG | 20岁 | OVR 77
  Timofey Mozgov | C | 30岁 | OVR 77
  Jordan Clarkson | SG | 24岁 | OVR 75
  Brandon Bass | PF | 31岁 | OVR 74
  Julius Randle | PF | 22岁 | OVR 74
  Nick Young | SG | 31岁 | OVR 73
  Brandon Ingram | 3 | 19岁 | OVR 73
  Marcelo Huertas | PG | 33岁 | OVR 72
  Robert Sacre | C | 27岁 | OVR 69
  Larry Nance | PF | 24岁 | OVR 66
  Tarik Black | C | 25岁 | OVR 62
  Metta World | SF | 37岁 | OVR 61
  Ivica Zubac | C | 19岁 | OVR 60

[MEM] 共 15 人
  Marc Gasol | C | 32岁 | OVR 87
  Mike Conley | PG | 29岁 | OVR 85
  Zach Randolph | PF | 35岁 | OVR 84
  Chandler Parsons | SF | 28岁 | OVR 79
  Tony Allen | SG | 35岁 | OVR 78
  Brandan Wright | PF | 29岁 | OVR 75
  Lance Stephenson | SG/SF/PG | 26岁 | OVR 74
  Mario Chalmers | PG | 30岁 | OVR 74
  Vince Carter | SG/SF | 40岁 | OVR 72
